param_name,param_value,n,m,alpha,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,status
alpha,0.1,8000,40,0.1,standard_t,0.3,781020512,0.008099554452680536,0.02327600108945917,0.0038394927978515625,0.0035614415698130603,0.021911883498225367,0.10938501358032227,ok
alpha,0.1,8000,40,0.1,standard_t,0.3,2678185529,-0.0027418213365049534,0.04176977519356404,0.0032100677490234375,0.0092704749771095,0.03700400704099111,0.09284186363220215,ok
alpha,0.1,8000,40,0.1,standard_t,0.3,727841268,0.008555662633840872,0.006321528709168233,0.003084897994995117,0.024869870033088687,0.009181903439551137,0.11844539642333984,ok
alpha,0.1,8000,40,0.1,standard_t,0.3,4204554059,-0.02747486168922516,0.06994700198208874,0.00258636474609375,0.008189248518350237,0.09008345864506767,0.06722211837768555,ok
alpha,0.1,8000,40,0.1,standard_t,0.3,2028053869,0.019642077217276854,0.011401608750725805,0.0020139217376708984,0.033606900274291036,0.008614344457440106,0.05187702178955078,ok
alpha,0.1,8000,40,0.1,standard_t,0.3,259495031,0.00433234896318758,1.8447232633067404e-06,0.0026738643646240234,0.012376718887810913,4.4704789381338335e-05,0.07893729209899902,ok
alpha,0.1,8000,40,0.1,standard_t,0.3,947380072,-0.019312534515756388,0.1166169451930042,0.0026841163635253906,-0.02067107078737666,0.11569093164381644,0.11904740333557129,ok
alpha,0.1,8000,40,0.1,standard_t,0.3,1369685350,0.03093146583590213,0.05335459930369556,0.0026552677154541016,-7.141130981472532e-05,0.06863824786294262,0.10524916648864746,ok
alpha,0.1,8000,40,0.1,standard_t,0.3,1051880743,-0.02781829791334756,0.05794306954605302,0.0018620491027832031,-0.006753329260492666,0.06852805415546526,0.0669100284576416,ok
alpha,0.1,8000,40,0.1,standard_t,0.3,470475814,-0.03981084881909802,0.2090075148991263,0.003037691116333008,-0.02930511729274103,0.2187237672331959,0.09858822822570801,ok
alpha,0.1,8000,40,0.1,standard_t,0.3,4125618433,0.02675427436388475,0.03798977254984098,0.0027284622192382812,0.008754782927549472,0.045330303475762466,0.06000781059265137,ok
