param_name,param_value,n,m,alpha,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,status
m,1,8000,1,0.6,normal,0.3,727841268,-0.019502438352239186,8.513230193551737e-05,0.002857208251953125,0.0073266393980408445,0.0013000203168541105,0.07081222534179688,ok
m,1,8000,1,0.6,normal,0.3,2678185529,7.73694984303981e-05,0.0017075293362169436,0.0032727718353271484,-0.011450242732802178,0.0027931092055156824,0.10791468620300293,ok
m,1,8000,1,0.6,normal,0.3,781020512,0.019747563326635176,0.0017707211667673467,0.003014087677001953,0.005096458557681883,0.003218411193003517,0.10917019844055176,ok
m,1,8000,1,0.6,normal,0.3,1369685350,-0.016799900850236145,0.0021039437120949677,0.0014719963073730469,0.01305821187387439,0.005734560190571078,0.048711538314819336,ok
m,1,8000,1,0.6,normal,0.3,4204554059,-0.014725496920832255,3.939168732940867e-05,0.002897024154663086,-0.032165201948893225,0.0005624479333476288,0.06761479377746582,ok
m,1,8000,1,0.6,normal,0.3,947380072,-0.0011140314514049906,0.0031328198854345722,0.003006458282470703,0.019805807828850837,0.0012286258537003837,0.08194637298583984,ok
m,1,8000,1,0.6,normal,0.3,259495031,0.007127737409911863,0.0010144264929248968,0.0029065608978271484,-0.010077646190512818,0.0024064368100873233,0.10069656372070312,ok
m,1,8000,1,0.6,normal,0.3,2028053869,0.004795334032639277,0.00021379640483116372,0.0035047531127929688,0.009499169368519128,0.00037347934792380133,0.06649041175842285,ok
m,1,8000,1,0.6,normal,0.3,470475814,-0.006857827820017346,0.0017315831583245309,0.0016677379608154297,-0.01754242710222379,0.0009565224093532667,0.0565488338470459,ok
m,1,8000,1,0.6,normal,0.3,4125618433,-0.010989771229519722,6.136558114228145e-05,0.0017778873443603516,-0.005184046991414203,4.1123557428556206e-06,0.05398702621459961,ok
m,1,8000,1,0.6,normal,0.3,2690882795,-0.03252377372635779,0.0017366634636992104,0.002634286880493164,-0.003702414858207014,0.004969496135252609,0.10574579238891602,ok
m,1,8000,1,0.6,normal,0.3,1051880743,0.005228839070383563,0.0001507984715861349,0.0026657581329345703,-0.020632188282899065,0.00018444422480016822,0.10497426986694336,ok
m,1,8000,1,0.6,normal,0.3,1472501943,-0.006873808255321755,0.0008974505854004195,0.0028057098388671875,-0.005298800092831879,0.0008055646862426353,0.05523824691772461,ok
m,1,8000,1,0.6,normal,0.3,2954173373,0.0064414171450132614,0.00027540205941025217,0.002656698226928711,6.2773267745309e-05,0.0005277994355850159,0.0573422908782959,ok
m,1,8000,1,0.6,normal,0.3,2320123009,0.002668510380322241,0.00041499437902879345,0.0018048286437988281,0.0022330631818955594,0.0003974426457473249,0.09207987785339355,ok
m,1,8000,1,0.6,normal,0.3,3452587823,-0.0049671154261811575,1.8992876119382661e-07,0.0018873214721679688,-0.006667653720347006,1.5995422865225217e-06,0.05291438102722168,ok
m,1,8000,1,0.6,normal,0.3,2841777980,-0.02081950250703808,0.009303528488791615,0.0018079280853271484,0.0190662331331213,0.0032000590693803174,0.06565332412719727,ok
m,1,8000,1,0.6,normal,0.3,1989427189,-0.0025171337343561327,0.004427261350059692,0.0025205612182617188,-0.03281662195250952,0.009377434951300638,0.0522310733795166,ok
m,1,8000,1,0.6,normal,0.3,312743187,-0.011071573469350166,0.00015818685002708037,0.0017504692077636719,-0.006002621124773501,5.637431427324457e-05,0.05244016647338867,ok
