param_name,param_value,n,m,alpha,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,status
alpha,0.1,8000,40,0.1,binomial,0.3,781020512,-0.05905409053931534,0.6739521862602307,0.0042781829833984375,-0.014307736087842068,0.7494230957973573,0.11566567420959473,ok
alpha,0.1,8000,40,0.1,binomial,0.3,2678185529,-0.020703831421287434,0.7731617520772038,0.004892110824584961,-0.015625730761787266,0.7821178480906228,0.12956714630126953,ok
alpha,0.1,8000,40,0.1,binomial,0.3,727841268,-0.050017774597860526,0.7224697834995735,0.0033059120178222656,0.007033282047641835,0.822709374742117,0.12493157386779785,ok
alpha,0.1,8000,40,0.1,binomial,0.3,4204554059,-0.04540634771141727,0.6965465644403958,0.0034017562866210938,-0.01364639312541879,0.7505685721445964,0.11376428604125977,ok
alpha,0.1,8000,40,0.1,binomial,0.3,947380072,-0.010743417997662243,0.755607005354387,0.004681825637817383,-0.004999234066418364,0.7656263403843546,0.12920069694519043,ok
alpha,0.1,8000,40,0.1,binomial,0.3,259495031,-0.05002237981038522,0.6888628500156164,0.003122568130493164,-0.009754876014036658,0.7573265758213447,0.12021708488464355,ok
alpha,0.1,8000,40,0.1,binomial,0.3,1369685350,-0.023969131916310654,0.7327888471121148,0.0031290054321289062,0.009987018724702564,0.792076893498484,0.08575081825256348,ok
alpha,0.1,8000,40,0.1,binomial,0.3,2028053869,-0.043905990705659856,0.6990531923778842,0.0033779144287109375,-0.021836449176141276,0.7364446799626136,0.08397412300109863,ok
alpha,0.1,8000,40,0.1,binomial,0.3,470475814,-0.02771379237496701,0.726391779707861,0.002420186996459961,0.004542445423946537,0.7824153377565755,0.0806887149810791,ok
alpha,0.1,8000,40,0.1,binomial,0.3,1051880743,-0.04071572961976147,0.7043980865076894,0.002861499786376953,-0.03885449007393139,0.707525768868786,0.09627175331115723,ok
alpha,0.1,8000,40,0.1,binomial,0.3,2690882795,-0.023393881455215416,0.7337740423283616,0.0025255680084228516,0.0239316597634957,0.817092445522788,0.08711576461791992,ok
alpha,0.1,8000,40,0.1,binomial,0.3,2320123009,-0.053550720284263977,0.7164763831312884,0.002773761749267578,0.004916445532135529,0.8188737733945145,0.07372879981994629,ok
alpha,0.1,8000,40,0.1,binomial,0.3,4125618433,-0.05993958098459736,0.6724990908357177,0.002691507339477539,0.0016167403293860226,0.777248076829012,0.10694241523742676,ok
alpha,0.1,8000,40,0.1,binomial,0.3,2841777980,-0.052072044047388556,0.6854647002478694,0.002306699752807617,-0.019432631945956434,0.7405761949594637,0.057616233825683594,ok
alpha,0.1,8000,40,0.1,binomial,0.3,2954173373,-0.05886589307967514,0.6742612215478395,0.002485513687133789,-0.02256990573052287,0.7351863665589644,0.07549834251403809,ok
